"eloRank","baseRank","teamName","confName","divName","GP","W","L","OTL","PTS","PTS_P","RW","ROW","GF","GA","DIFF","HOME","AWAY","SO","L10","STRK","elo"
1,1,"Jets","Western","Central",82,56,22,4,116,0.707,43,54,277,191,86,"30-7-4","26-15-0","2-1","7-3-0","W1",1568.9
2,3,"Golden Knights","Western","Pacific",82,50,22,10,110,0.671,46,49,275,219,56,"29-9-3","21-13-7","1-5","6-2-2","W1",1555.77
3,7,"Lightning","Eastern","Atlantic",82,47,27,8,102,0.622,41,45,294,219,75,"29-8-4","18-19-4","2-3","5-2-3","L1",1554.45
4,6,"Kings","Western","Pacific",82,48,25,9,105,0.64,43,47,250,206,44,"31-6-4","17-19-5","1-3","8-2-0","L1",1545.9
5,8,"Avalanche","Western","Central",82,49,29,4,102,0.622,40,45,277,234,43,"26-12-3","23-17-1","4-3","5-4-1","W1",1543.8
6,2,"Capitals","Eastern","Metropolitan",82,51,22,9,111,0.677,43,49,288,232,56,"26-9-6","25-13-3","2-3","4-6-0","L1",1543.36
7,5,"Stars","Western","Central",82,50,26,6,106,0.646,41,48,277,224,53,"28-10-3","22-16-3","2-2","3-5-2","L4",1541.81
8,4,"Maple Leafs","Eastern","Atlantic",82,52,26,4,108,0.659,41,51,268,231,37,"27-13-1","25-13-3","1-2","9-1-0","W5",1539.04
9,14,"Blues","Western","Central",82,44,30,8,96,0.585,32,40,254,233,21,"24-14-3","20-16-5","4-2","7-2-1","W1",1524.88
10,9,"Oilers","Western","Pacific",82,48,29,5,101,0.616,36,48,259,236,23,"25-13-3","23-16-2","0-1","7-3-0","W1",1524.78
11,10,"Hurricanes","Eastern","Metropolitan",82,47,30,5,99,0.604,42,47,266,233,33,"31-9-1","16-21-4","0-3","3-6-1","L3",1523.5
12,11,"Panthers","Eastern","Atlantic",82,47,31,4,98,0.598,37,41,252,223,29,"27-12-2","20-19-2","6-0","3-6-1","L2",1519.55
13,12,"Senators","Eastern","Atlantic",82,45,30,7,97,0.591,35,44,243,234,9,"27-11-3","18-19-4","1-2","6-2-2","W1",1511.31
14,20,"Blue Jackets","Eastern","Metropolitan",82,40,33,9,89,0.543,30,34,273,268,5,"26-10-5","14-23-4","6-1","7-3-0","W6",1505.43
15,16,"Devils","Eastern","Metropolitan",82,42,33,7,91,0.555,36,40,242,222,20,"19-17-5","23-16-2","2-2","5-5-0","L1",1503.93
16,15,"Flames","Western","Pacific",82,41,27,14,96,0.585,31,36,225,238,-13,"23-12-6","18-15-8","5-2","7-1-2","W4",1499.85
17,19,"Utah Hockey Club","Western","Central",82,38,31,13,89,0.543,30,37,241,251,-10,"18-15-8","20-16-5","1-4","6-2-2","L1",1499.46
18,22,"Rangers","Eastern","Metropolitan",82,39,36,7,85,0.518,35,38,256,255,1,"19-19-3","20-17-4","1-0","5-4-1","W2",1498.57
19,17,"Canadiens","Eastern","Atlantic",82,40,31,11,91,0.555,30,38,245,265,-20,"23-12-6","17-19-5","2-4","7-1-2","W1",1493.15
20,13,"Wild","Western","Central",82,45,30,7,97,0.591,33,42,228,239,-11,"22-17-2","23-13-5","3-3","5-3-2","W2",1491.18
21,21,"Red Wings","Eastern","Atlantic",82,39,35,8,86,0.524,30,36,238,259,-21,"22-16-3","17-19-5","3-0","6-2-2","OT1",1489.24
22,18,"Canucks","Western","Pacific",82,38,30,14,90,0.549,28,35,236,253,-17,"17-16-8","21-14-6","3-2","4-4-2","L1",1486.34
23,27,"Kraken","Western","Pacific",82,35,41,6,76,0.463,28,33,247,265,-18,"18-18-5","17-23-1","2-3","5-5-0","L1",1479.15
24,26,"Sabres","Eastern","Atlantic",82,36,39,7,79,0.482,29,32,269,289,-20,"23-15-3","13-24-4","4-2","6-3-1","W1",1478.94
25,23,"Islanders","Eastern","Metropolitan",82,35,35,12,82,0.5,28,33,224,260,-36,"19-17-5","16-18-7","2-3","3-5-2","L2",1468.96
26,24,"Penguins","Eastern","Metropolitan",82,34,36,12,80,0.488,24,33,243,293,-50,"21-15-5","13-21-7","1-6","5-4-1","W1",1463.62
27,25,"Ducks","Western","Pacific",82,35,37,10,80,0.488,24,31,221,263,-42,"21-18-2","14-19-8","4-2","3-5-2","OT2",1463.16
28,28,"Bruins","Eastern","Atlantic",82,33,39,10,76,0.463,26,33,222,272,-50,"20-14-7","13-25-3","0-1","3-6-1","OT1",1459.71
29,29,"Flyers","Eastern","Metropolitan",82,33,39,10,76,0.463,21,27,238,286,-48,"20-20-1","13-19-9","6-3","5-4-1","L2",1450.66
30,30,"Predators","Western","Central",82,30,44,8,68,0.415,24,28,214,274,-60,"20-18-3","10-26-5","2-0","3-7-0","W1",1444.74
31,31,"Blackhawks","Western","Central",82,25,46,11,61,0.372,20,23,226,296,-70,"15-20-6","10-26-5","2-4","4-4-2","W2",1429.83
32,32,"Sharks","Western","Pacific",82,20,50,12,52,0.317,14,18,210,315,-105,"12-27-2","8-23-10","2-5","0-7-3","L1",1397.03
